[2022/09/26 11:38:57][DEBUG](ViewGUI.py:567) 画像処理Undo起動 event_clip_keep ViewGUI.py
[2022/09/26 11:38:57][DEBUG](ViewGUI.py:567) 画像処理Undo起動 event_clip_keep ViewGUI.py
[2022/09/26 11:38:57][DEBUG](ViewGUI.py:567) 画像処理Undo起動 event_clip_keep ViewGUI.py
[2022/09/26 11:38:57][DEBUG](ViewGUI.py:567) 画像処理Undo起動 event_clip_keep ViewGUI.py
[2022/09/26 11:38:57][DEBUG](ViewGUI.py:567) 画像処理Undo起動 event_clip_keep ViewGUI.py
[2022/09/26 11:38:57][DEBUG](ViewGUI.py:567) 画像処理Undo起動 event_clip_keep ViewGUI.py
[2022/09/26 11:38:57][DEBUG](ViewGUI.py:567) 画像処理Undo起動 event_clip_keep ViewGUI.py
[2022/09/26 11:38:57][DEBUG](ViewGUI.py:567) 画像処理Undo起動 event_clip_keep ViewGUI.py
[2022/09/26 11:38:57][DEBUG](ViewGUI.py:579) 画像範囲選択イベント完了 event_clip_end ViewGUI.py
[2022/09/26 11:38:57][DEBUG](ViewGUI.py:608) OverSaveボタン起動 event_Searchsave ViewGUI.py
[2022/09/26 11:38:59][DEBUG](ViewGUI.py:548) Eraceボタン起動 event_clip_Erace ViewGUI.py
[2022/09/26 11:38:59][DEBUG](PngImagePlugin.py:186) STREAM b'IHDR' 16 13 call PIL\PngImagePlugin.py
[2022/09/26 11:38:59][DEBUG](PngImagePlugin.py:186) STREAM b'IDAT' 41 65536 call PIL\PngImagePlugin.py
[2022/09/26 11:39:01][DEBUG](ViewGUI.py:446) ファイル選択起動 event_updatefile ViewGUI.py
[2022/09/26 11:39:01][DEBUG](ViewGUI.py:608) OverSaveボタン起動 event_Searchsave ViewGUI.py
[2022/09/26 11:39:09][DEBUG](PngImagePlugin.py:186) STREAM b'IHDR' 16 13 call PIL\PngImagePlugin.py
[2022/09/26 11:39:09][DEBUG](PngImagePlugin.py:186) STREAM b'IDAT' 41 8192 call PIL\PngImagePlugin.py
[2022/09/26 11:39:09][DEBUG](ViewGUI.py:476) D:/OCRTESTPDF/PDFTEST\Hirogin_1pageedit.png_ファイル選択後イベント完了 event_selectfile ViewGUI.py
[2022/09/26 11:39:11][DEBUG](ViewGUI.py:446) ファイル選択起動 event_updatefile ViewGUI.py
[2022/09/26 11:39:11][DEBUG](ViewGUI.py:608) OverSaveボタン起動 event_Searchsave ViewGUI.py
[2022/09/26 11:39:15][DEBUG](PngImagePlugin.py:186) STREAM b'IHDR' 16 13 call PIL\PngImagePlugin.py
[2022/09/26 11:39:15][DEBUG](PngImagePlugin.py:186) STREAM b'IDAT' 41 65536 call PIL\PngImagePlugin.py
[2022/09/26 11:39:15][DEBUG](ViewGUI.py:476) D:/OCRTESTPDF/PDFTEST\Hirogin_1page.png_ファイル選択後イベント完了 event_selectfile ViewGUI.py
[2022/09/26 11:39:17][DEBUG](ViewGUI.py:446) ファイル選択起動 event_updatefile ViewGUI.py
[2022/09/26 11:39:17][DEBUG](ViewGUI.py:608) OverSaveボタン起動 event_Searchsave ViewGUI.py
[2022/09/26 11:39:20][DEBUG](PngImagePlugin.py:186) STREAM b'IHDR' 16 13 call PIL\PngImagePlugin.py
[2022/09/26 11:39:20][DEBUG](PngImagePlugin.py:186) STREAM b'IDAT' 41 65536 call PIL\PngImagePlugin.py
[2022/09/26 11:39:20][DEBUG](ViewGUI.py:476) D:/OCRTESTPDF/PDFTEST\Hirogin_1page2.png_ファイル選択後イベント完了 event_selectfile ViewGUI.py
[2022/09/26 11:39:21][DEBUG](ViewGUI.py:446) ファイル選択起動 event_updatefile ViewGUI.py
[2022/09/26 11:39:21][DEBUG](ViewGUI.py:608) OverSaveボタン起動 event_Searchsave ViewGUI.py
[2022/09/26 11:39:22][DEBUG](PngImagePlugin.py:186) STREAM b'IHDR' 16 13 call PIL\PngImagePlugin.py
[2022/09/26 11:39:22][DEBUG](PngImagePlugin.py:186) STREAM b'IDAT' 41 65536 call PIL\PngImagePlugin.py
[2022/09/26 11:39:22][DEBUG](ViewGUI.py:476) D:/OCRTESTPDF/PDFTEST\Hirogin_1page.png_ファイル選択後イベント完了 event_selectfile ViewGUI.py
[2022/09/26 11:39:23][DEBUG](ViewGUI.py:446) ファイル選択起動 event_updatefile ViewGUI.py
[2022/09/26 11:39:23][DEBUG](ViewGUI.py:608) OverSaveボタン起動 event_Searchsave ViewGUI.py
[2022/09/26 11:39:25][DEBUG](PngImagePlugin.py:186) STREAM b'IHDR' 16 13 call PIL\PngImagePlugin.py
[2022/09/26 11:39:25][DEBUG](PngImagePlugin.py:186) STREAM b'IDAT' 41 65536 call PIL\PngImagePlugin.py
[2022/09/26 11:39:25][DEBUG](ViewGUI.py:476) D:/OCRTESTPDF/PDFTEST\Hirogin_1page.png_ファイル選択後イベント完了 event_selectfile ViewGUI.py
[2022/09/26 11:39:28][DEBUG](ViewGUI.py:525) Tryボタン起動 event_clip_try ViewGUI.py
[2022/09/26 11:39:29][DEBUG](ViewGUI.py:558) 画像処理Save起動 event_clip_start ViewGUI.py
[2022/09/26 11:39:29][DEBUG](ViewGUI.py:567) 画像処理Undo起動 event_clip_keep ViewGUI.py
[2022/09/26 11:39:29][DEBUG](ViewGUI.py:567) 画像処理Undo起動 event_clip_keep ViewGUI.py
